product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Desk,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","band saw, drill press, orbital sander, clamps, chisel, mallet",1855,598,YES,1-2 days,1
Bookcase,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",4266,1793,YES,1-2 days,0
Toolbox,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","jigsaw, drill, tape measure, sandpaper, square",1150,484,YES,1-2 days,0
Window Seat,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",7571,2576,YES,2-3 days,0
Folding Table,tables,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",2032,731,YES,1-2 days,3
Planter Box,outdoor,Intermediate,"treated pine, galvanised screws, outdoor paint, sandpaper","band saw, drill press, orbital sander, clamps, chisel, mallet",1308,648,YES,4-8 hours,3
Bird Feeder,outdoor,Beginner,"pine boards, outdoor screws, weather sealant, sandpaper","hand saw, hammer, tape measure, sandpaper, clamps",205,78,YES,1-3 hours,1
Secretary Desk,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",9175,3141,YES,3-5 days,0
Desk,tables,Advanced,"plywood sheets, hardwood edge banding, wood screws, lacquer","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",4229,1939,NO,1-2 days,2
Computer Desk,tables,Advanced,"oak lumber, dowels, wood glue, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",4526,1411,NO,1-2 days,2
Bird Feeder,outdoor,Intermediate,"reclaimed timber, galvanised brackets, outdoor stain, nails","band saw, drill press, orbital sander, clamps, chisel, mallet",310,148,YES,1-3 hours,0
Gazebo,outdoor,Advanced,"treated pine, galvanised screws, outdoor paint, sandpaper","table saw, jointer, planer, router, drill press, orbital sander, clamps",13158,5140,YES,5-7 days,2
Canopy Bed,bedroom,Advanced,"pine boards, wood screws, sandpaper, wood stain","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",12813,4186,YES,4-6 days,2
Sideboard / Buffet,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",5017,2439,YES,3-5 days,0
Jewelry Box,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","circular saw, router, orbital sander, drill, clamps, tape measure",827,450,YES,4-8 hours,0
Step Stool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","hand saw, hammer, tape measure, sandpaper, clamps",765,463,NO,4-8 hours,3
Bench,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","circular saw, hammer, tape measure, clamps, level",2186,903,YES,1-2 days,0
Chest of Drawers,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","circular saw, router, orbital sander, drill, clamps, tape measure",6125,2294,YES,3-4 days,2
Spice Rack,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","circular saw, hammer, tape measure, clamps, level",764,233,NO,2-4 hours,1
Desk,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",3935,1712,YES,1-2 days,0
Puzzle,kids,Intermediate,"birch plywood, non-toxic finish, sandpaper, wood screws","miter saw, drill, orbital sander, clamps, router, level",864,329,YES,4-8 hours,2
Folding Step Ladder,outdoor,Advanced,"meranti boards, exterior glue, galvanised nails, wood preservative","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",2987,849,YES,4-8 hours,1
Stool,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","jigsaw, drill, tape measure, sandpaper, square",1366,458,YES,3-5 hours,3
Storage Bench,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",2003,896,YES,1-2 days,3
Step Stool,seating,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","circular saw, hammer, tape measure, clamps, level",557,174,YES,4-8 hours,0
Armoire,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",6275,2049,YES,5-7 days,1
Console Table,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","band saw, drill press, orbital sander, clamps, chisel, mallet",1871,859,YES,1-2 days,0
Mirror Frame,decorative,Beginner,"pine boards, router bits, sandpaper, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",674,294,YES,2-4 hours,0
Arbor,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","hand saw, chisel, mallet, sandpaper, tape measure",2923,1457,YES,1-2 days,0
Wall-Mounted Shelves,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","jigsaw, drill, tape measure, sandpaper, square",333,205,NO,2-4 hours,1
